"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
3800049,133554,"Echinopora fruticulosa","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Echinopora","fruticulosa",NA,NA,NA,"(Ehrenberg, 1834)","Near Threatened","",3.1,"Decreasing","Global","Echinopora fruticulosa"
3800428,133555,"Porites deformis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","deformis",NA,NA,NA,"Nemenzo, 1955","Near Threatened","",3.1,"Unknown","Global","Porites deformis"
3800877,133556,"Montipora spumosa","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Montipora","spumosa",NA,NA,NA,"(Lamarck, 1816)","Least Concern","",3.1,"Decreasing","Global","Montipora spumosa"
3804247,133561,"Porites flavus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","flavus",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Unknown","Global","Porites flavus"
3804557,133562,"Oxypora convoluta","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PECTINIIDAE","Oxypora","convoluta",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Unknown","Global","Oxypora convoluta"
3804883,133563,"Montipora peltiformis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Montipora","peltiformis",NA,NA,NA,"Bernard, 1897","Near Threatened","",3.1,"Decreasing","Global","Montipora peltiformis"
3805492,133564,"Isophyllastrea rigida","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Isophyllastrea","rigida",NA,NA,NA,"(Dana, 1848)","Least Concern","",3.1,"Stable","Global","Isophyllia rigida"
3805962,133565,"Lobophyllia dentatus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Lobophyllia","dentatus",NA,NA,NA,"Veron, 2002","Vulnerable","A4c",3.1,"Unknown","Global","Lobophyllia dentata"
3807153,133568,"Porites rugosa","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","rugosa",NA,NA,NA,"Fenner &amp; Veron, 2000","Vulnerable","A4cde",3.1,"Unknown","Global","Porites rugosus"
3808958,133571,"Platygyra carnosus","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Platygyra","carnosus",NA,NA,NA,"Veron, 2002","Near Threatened","",3.1,"Decreasing","Global","Platygyra carnosa"
3809462,133572,"Porites echinulata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","echinulata",NA,NA,NA,"Klunzinger, 1879","Near Threatened","",3.1,"Unknown","Global","Porites echinulata"
3809861,133573,"Australomussa rowleyensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Australomussa","rowleyensis",NA,NA,NA,"Veron, 1985","Near Threatened","",3.1,"Unknown","Global","Lobophyllia rowleyensis"
3810276,133574,"Porites pukoensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","pukoensis",NA,NA,NA,"Vaughan, 1907","Critically Endangered","D",3.1,"Unknown","Global","Porites pukoensis"
3810570,133575,"Cladocora arbuscula","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Cladocora","arbuscula",NA,NA,NA,"(Lesueur, 1821)","Least Concern","",3.1,"Unknown","Global","Cladocora arbuscula"
3811673,133577,"Favites spinosa","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Favites","spinosa",NA,NA,NA,"(Klunzinger, 1879)","Vulnerable","A4c",3.1,"Decreasing","Global","Favites spinosa"
3812131,133578,"Favites bestae","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Favites","bestae",NA,NA,NA,"Veron, 2002","Near Threatened","",3.1,"Decreasing","Global","Favites melicerum"
3812570,133579,"Pocillopora molokensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","molokensis",NA,NA,NA,"Vaughan, 1907","Data Deficient","",3.1,"Unknown","Global","Pocillopora molokensis"
3812839,133580,"Montipora hirsuta","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Montipora","hirsuta",NA,NA,NA,"Nemenzo, 1967","Near Threatened","",3.1,"Decreasing","Global","Montipora carinata"
3814135,133583,"Acropora awi","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","awi",NA,NA,NA,"(Wallace &amp; Wolstenholme, 1998)","Vulnerable","A4ce",3.1,"Decreasing","Global","Acropora awi"
3814471,133584,"Porites divaricata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","divaricata",NA,NA,NA,"Lesueur, 1821","Least Concern","",3.1,"Stable","Global","Porites divaricata"
3814938,133585,"Pseudosiderastrea tayami","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","SIDERASTREIDAE","Pseudosiderastrea","tayami",NA,NA,NA,"Yabe and Sugiyama 1935","Near Threatened","",3.1,"Unknown","Global","Pseudosiderastrea tayamai"
3815548,133586,"Mussismilia braziliensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","MUSSIDAE","Mussismilia","braziliensis",NA,NA,NA,"(Verrill, 1867)","Data Deficient","",3.1,"Unknown","Global","Mussismilia braziliensis"
3816883,133589,"Psammocora explanulata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","SIDERASTREIDAE","Psammocora","explanulata",NA,NA,NA,"Horst 1922","Least Concern","",3.1,"Unknown","Global","Cycloseris explanulata"
